text,speaker,start,end
 Go down.,SPEAKER_01,0:07:41,0:07:42
 Yeah.,SPEAKER_01,0:07:42,0:07:43
 You're going to make the roof.,SPEAKER_03,0:07:43,0:07:44
 Yeah; and then we can make the roof.,SPEAKER_01,0:07:44,0:07:46
 Let's do the roof over there.,SPEAKER_03,0:07:46,0:07:49
 Ready?,SPEAKER_02,0:07:49,0:07:50
 Sorry.,SPEAKER_02,0:07:50,0:07:51
 You're going to go left.,SPEAKER_02,0:07:51,0:07:52
 And I'll go up.,SPEAKER_02,0:07:52,0:07:53
 Three; two; one.,SPEAKER_01,0:07:53,0:07:57
 Go down.,SPEAKER_03,0:07:57,0:07:59
 Put a nice.,SPEAKER_03,0:07:59,0:08:00
 Yeah.,SPEAKER_03,0:08:00,0:08:01
 It's really fun.,SPEAKER_03,0:08:01,0:08:02
 Yeah.,SPEAKER_01,0:08:02,0:08:03
 Wait.,SPEAKER_01,0:08:03,0:08:04
 Three; two; one.,SPEAKER_01,0:08:04,0:08:06
 Yeah.,SPEAKER_01,0:08:06,0:08:08
 Yeah.,SPEAKER_01,0:08:08,0:08:09
 I'm going to get smaller.,SPEAKER_02,0:08:09,0:08:11
 Yeah.,SPEAKER_01,0:08:11,0:08:12
 You're going to go down.,UNKNOWN,0:08:12,0:08:13
 Yeah.,SPEAKER_01,0:08:13,0:08:14
 Back that way.,SPEAKER_01,0:08:14,0:08:17
 I don't.,SPEAKER_01,0:08:17,0:08:22
 So.,SPEAKER_01,0:08:22,0:08:24
 Oh.,UNKNOWN,0:08:24,0:08:26
 Oh.,UNKNOWN,0:08:26,0:08:27
 Oh; you're not across.,SPEAKER_01,0:08:27,0:08:34
 You're not across.,SPEAKER_01,0:08:34,0:08:39
 You're not across.,SPEAKER_01,0:08:39,0:08:43
 You're not across.,SPEAKER_01,0:08:43,0:08:52
 You're not across.,SPEAKER_01,0:08:52,0:08:59
 You're not across.,SPEAKER_01,0:08:59,0:09:06
 You're not across.,SPEAKER_01,0:09:06,0:09:12
 You're not across; you're not across.,SPEAKER_01,0:09:12,0:09:24
 Down a bit to go right and ready.,SPEAKER_01,0:09:24,0:09:26
 Up.,UNKNOWN,0:09:26,0:09:27
 Down.,SPEAKER_01,0:09:27,0:09:35
 Down.,SPEAKER_03,0:09:35,0:09:41
 Did you take?,UNKNOWN,0:09:41,0:09:43
 Now let's get back over there.,SPEAKER_02,0:09:47,0:09:49
 I have to do that.,SPEAKER_01,0:09:53,0:09:55
 It's awful.,SPEAKER_01,0:09:55,0:09:57
 I have to sit there across.,SPEAKER_02,0:09:57,0:09:59
 Do you fly?,SPEAKER_02,0:09:59,0:10:01
 Back.,UNKNOWN,0:10:01,0:10:03
 Get down; yeah?,SPEAKER_02,0:10:03,0:10:05
 Yeah.,UNKNOWN,0:10:05,0:10:07
 And up.,UNKNOWN,0:10:07,0:10:09
 Back that way.,SPEAKER_02,0:10:09,0:10:11
 Back that way.,SPEAKER_01,0:10:11,0:10:13
 Get back.,SPEAKER_01,0:10:13,0:10:15
 Back.,SPEAKER_01,0:10:15,0:10:17
 Get back.,UNKNOWN,0:10:17,0:10:19
 Yeah.,UNKNOWN,0:10:19,0:10:21
 And up.,SPEAKER_01,0:10:21,0:10:25
 Do that as you try something.,SPEAKER_02,0:10:25,0:10:27
 Press more at once.,SPEAKER_02,0:10:27,0:10:29
 Okay; three; two; one; go.,SPEAKER_01,0:10:29,0:10:33
 Are you still there?,SPEAKER_01,0:10:33,0:10:35
 Or the other one?,UNKNOWN,0:10:35,0:10:37
 Is it good?,UNKNOWN,0:10:37,0:10:39
 Or the other one?,SPEAKER_01,0:10:39,0:10:41
 Yes.,UNKNOWN,0:10:41,0:10:43
 I'm seeing him.,SPEAKER_01,0:10:43,0:10:45
 Anything?,UNKNOWN,0:10:45,0:10:47
 What?,UNKNOWN,0:10:47,0:10:49
 You see?,SPEAKER_02,0:10:49,0:10:51
 No.,SPEAKER_02,0:10:51,0:10:53
 A cheek with touchscreen.,SPEAKER_02,0:10:53,0:10:55
 And where it works; I'll say.,SPEAKER_02,0:10:55,0:10:57
 Are you ready?,SPEAKER_01,0:10:57,0:10:59
 So; if I go...,SPEAKER_01,0:10:59,0:11:01
 From when stop.,SPEAKER_01,0:11:01,0:11:03
 Okay; so it's the S; so if you go; if you go; of course; yeah; up to you big; my go.,SPEAKER_01,0:11:03,0:11:27
 I'm going to need to make a small stop.,SPEAKER_02,0:11:27,0:11:31
 And then I'm going to make a small stop.,SPEAKER_01,0:11:31,0:11:37
 I think you can.,SPEAKER_01,0:11:37,0:11:39
 Awesome.,UNKNOWN,0:11:39,0:11:47
 You need to go right.,SPEAKER_03,0:11:47,0:11:51
 Three; two; one; go.,SPEAKER_03,0:11:51,0:11:53
 Stop.,SPEAKER_03,0:11:53,0:11:55
 A bit more; one more.,SPEAKER_03,0:11:55,0:11:57
 Three; two; one.,SPEAKER_03,0:11:57,0:11:59
 I'll go.,SPEAKER_03,0:11:59,0:12:01
 Three; two; three.,SPEAKER_03,0:12:01,0:12:03
 You need to go right.,SPEAKER_03,0:12:03,0:12:05
 Three; two; one; go.,SPEAKER_02,0:12:05,0:12:07
 Oh; so close.,SPEAKER_02,0:12:07,0:12:09
 Give it that way.,UNKNOWN,0:12:09,0:12:11
 You can far.,SPEAKER_02,0:12:11,0:12:13
 You need to get down.,SPEAKER_02,0:12:13,0:12:15
 Okay; go down.,SPEAKER_01,0:12:15,0:12:17
 You go down.,SPEAKER_01,0:12:17,0:12:19
 Three; two; one.,SPEAKER_01,0:12:19,0:12:23
 Okay.,UNKNOWN,0:12:23,0:12:25
 Where are you?,SPEAKER_02,0:12:25,0:12:27
 Press your points.,SPEAKER_02,0:12:27,0:12:29
 No.,SPEAKER_02,0:12:29,0:12:31
 Sorry.,SPEAKER_02,0:12:31,0:12:33
 And then if you go down.,SPEAKER_01,0:12:33,0:12:35
 Go down.,SPEAKER_01,0:12:35,0:12:37
 All the way down.,SPEAKER_01,0:12:37,0:12:39
 Keep on going.,SPEAKER_01,0:12:39,0:12:41
 All the way down.,SPEAKER_01,0:12:41,0:12:43
 And then we have to make the next stop there.,SPEAKER_01,0:12:43,0:12:49
 And then I go.,SPEAKER_01,0:12:49,0:12:51
 Stop.,UNKNOWN,0:12:51,0:12:53
 I'm going up.,SPEAKER_01,0:12:53,0:12:57
 One more.,SPEAKER_01,0:12:57,0:12:59
 Yeah.,SPEAKER_01,0:12:59,0:13:01
 Great.,SPEAKER_01,0:13:01,0:13:03
 You go right.,SPEAKER_03,0:13:03,0:13:05
 Three; two; one; go.,SPEAKER_03,0:13:05,0:13:09
 Okay; so that is the eight minutes up.,SPEAKER_00,0:13:09,0:13:15
 Really?,SPEAKER_00,0:13:15,0:13:17
 Yeah.,SPEAKER_00,0:13:17,0:13:19
 How did you find it?,SPEAKER_00,0:13:19,0:13:21
 Yeah; it's good.,SPEAKER_02,0:13:21,0:13:23
 It's hard to do; though.,SPEAKER_00,0:13:23,0:13:25
 Yeah; together.,SPEAKER_00,0:13:25,0:13:27
 It's quite difficult.,UNKNOWN,0:13:27,0:13:29
 I'm just going to stop recording now.,UNKNOWN,0:13:29,0:13:33
